run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,shed_total,div_total
0,none,0,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,16,3335,0.5554630246502332,0.0047976011994002995,65,393,5262,508009,510602
12,none,12,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,57,3246,0.5406395736175883,0.01756007393715342,106,474,5464,500221,502927
14,none,14,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,11,3392,0.5649566955363091,0.003242924528301887,85,458,4332,489540,491260
5,none,5,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,11,3236,0.5389740173217855,0.003399258343634116,86,461,7003,538606,542841
15,none,15,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,81,3335,0.5554630246502332,0.024287856071964018,162,409,8725,540870,546926
6,none,6,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,160,3300,0.5496335776149234,0.048484848484848485,230,441,5502,520296,523094
4,none,4,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,3,3467,0.5774483677548301,0.0008653014133256418,31,423,5964,508978,512405
9,none,9,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,187,3278,0.5459693537641572,0.05704697986577181,262,418,8253,558538,564065
10,none,10,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,82,3339,0.5561292471685543,0.024558250973345314,145,406,8659,543116,549110
2,none,2,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,7,3288,0.54763491005996,0.0021289537712895377,48,429,4647,498956,500887
1,none,1,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,39,3215,0.5354763491005996,0.012130637636080872,167,397,7863,533836,538910
7,none,7,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,27,3210,0.5346435709526982,0.008411214953271028,127,393,8531,552072,557809
8,none,8,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,7,3350,0.5579613590939374,0.00208955223880597,115,406,12132,627506,636984
13,none,13,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,15,3307,0.5507994670219853,0.004535833081342607,125,462,10604,577770,585677
11,none,11,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,5,3227,0.537475016655563,0.0015494267121165168,68,441,10551,578610,586384
3,none,3,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,6672.0,20000,20000.0,1728,3118,0.5193204530313125,0.5542014111610006,1754,326,15089,1122586,1134789
17,none,17,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,5,3368,0.5609593604263824,0.0014845605700712589,37,433,2429,475764,475557
31,none,31,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,15,3214,0.5353097934710194,0.004667081518357187,103,452,3916,487629,488755
18,none,18,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,14,3255,0.5421385742838108,0.004301075268817204,97,450,3608,485196,486055
16,none,16,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,238,3274,0.5453031312458361,0.07269395235186317,308,433,8952,545383,551605
24,none,24,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,7,3375,0.5621252498334444,0.002074074074074074,51,480,4614,497597,499582
25,none,25,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,9,3353,0.5584610259826782,0.0026841634357291978,31,430,7835,522363,527547
26,none,26,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,6,3323,0.5534643570952699,0.0018055973517905506,72,412,3774,490960,492053
27,none,27,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,10,3313,0.551798800799467,0.003018412315122246,38,422,9881,569081,576271
28,none,28,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,150,3313,0.551798800799467,0.04527618472683369,211,402,5579,511821,514709
21,none,21,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,5,3330,0.5546302465023317,0.0015015015015015015,30,460,5490,502322,505138
19,none,19,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,16992.0,20000,20000.0,794,3186,0.5306462358427715,0.24921531701192717,835,392,9397,617724,624303
