run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
3,none,3,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,1152.0,20000,20000.0,3314,3314,0.5519653564290473,1.0,3301,24,2459,0,394833,394602
12,none,12,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,888.0,20000,20000.0,3354,3354,0.5586275816122585,1.0,3340,29,2520,0,392902,392772
9,none,9,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,1032.0,20000,20000.0,3379,3379,0.5627914723517655,1.0,3369,28,2403,0,393877,393655
8,none,8,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,1056.0,20000,20000.0,3373,3373,0.5617921385742838,1.0,3371,23,2062,0,389726,389157
11,none,11,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,672.0,20000,20000.0,3354,3354,0.5586275816122585,1.0,3348,19,1915,0,369135,368400
1,none,1,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,1272.0,20000,20000.0,3382,3382,0.5632911392405063,1.0,3377,32,2548,0,395069,394995
14,none,14,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,1440.0,20000,20000.0,3348,3348,0.5576282478347768,1.0,3335,24,2343,0,393589,393276
2,none,2,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,1032.0,20000,20000.0,3334,3334,0.5552964690206529,1.0,3331,22,2400,0,397096,396826
13,none,13,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,840.0,20000,20000.0,3349,3349,0.5577948034643571,1.0,3349,13,2529,0,395633,395507
5,none,5,6.0,15.0,1.08,0.85,0.001,0.33,1.0,,,,0,500,24.0,False,888.0,20000,20000.0,3333,3333,0.5551299133910726,1.0,3320,19,2729,0,396277,396335
