run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
14,bounded,14,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,188,500,24.0,True,9984.0,20000,20000.0,156,3253,0.5418054630246503,0.047955733169382106,221,412,12021,0,652698,675408
7,bounded,7,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,77,500,24.0,True,4656.0,20000,20000.0,26,3274,0.5453031312458361,0.00794135613927917,70,398,13612,0,692425,708784
12,bounded,12,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,78,500,24.0,True,2856.0,20000,20000.0,6,3260,0.5429713524317122,0.0018404907975460123,80,389,12972,0,647345,662391
15,bounded,15,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,53,500,24.0,True,3528.0,20000,20000.0,53,3352,0.558294470353098,0.01581145584725537,92,399,16652,0,695910,713735
8,bounded,8,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,101,500,24.0,True,3408.0,20000,20000.0,39,3317,0.5524650233177881,0.01175761230027133,121,403,11620,0,667319,682442
4,bounded,4,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,55,500,24.0,True,2304.0,20000,20000.0,488,3201,0.5331445702864757,0.15245235863792564,554,400,16144,0,780397,797109
13,bounded,13,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,72,500,24.0,True,2712.0,20000,20000.0,146,3196,0.5323117921385743,0.045682102628285357,239,410,16641,0,729959,748265
5,bounded,5,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,139,500,24.0,True,2664.0,20000,20000.0,3,3284,0.5469686875416389,0.0009135200974421437,31,397,14831,0,693598,713153
6,bounded,6,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,55,500,24.0,True,2304.0,20000,20000.0,31,3344,0.5569620253164557,0.009270334928229665,48,401,11552,0,701394,713646
10,bounded,10,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,54,500,24.0,True,2280.0,20000,20000.0,82,3191,0.5314790139906729,0.02569727358194923,234,437,13098,0,676434,689977
1,bounded,1,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,22,500,24.0,True,2040.0,20000,20000.0,1007,3229,0.5378081279147235,0.31186125735521836,1040,367,18062,0,950295,967163
2,bounded,2,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,111,500,24.0,True,2328.0,20000,20000.0,129,3273,0.5451365756162558,0.03941338221814849,298,402,17506,0,889194,910015
0,bounded,0,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,140,500,24.0,True,4344.0,20000,20000.0,341,3281,0.546469020652898,0.10393172813166718,412,360,16696,0,921100,943669
9,bounded,9,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,181,500,24.0,True,3168.0,20000,20000.0,998,3253,0.5418054630246503,0.3067937288656625,1034,297,17937,0,1179415,1204002
11,bounded,11,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,83,500,24.0,True,1992.0,20000,20000.0,393,3259,0.5428047968021319,0.1205891377723228,702,325,17910,0,1013007,1032368
3,bounded,3,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,52,500,24.0,True,2232.0,20000,20000.0,1521,3167,0.5274816788807462,0.480265235238396,1582,260,17296,0,1342870,1360565
26,bounded,26,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,107,500,24.0,True,3552.0,20000,20000.0,7,3345,0.557128580946036,0.0020926756352765323,42,439,11991,0,583258,599347
28,bounded,28,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,337,500,24.0,True,17160.0,20000,20000.0,229,3227,0.537475016655563,0.07096374341493647,318,435,14903,0,586602,622972
17,bounded,17,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,137,500,24.0,True,7536.0,20000,20000.0,3,3415,0.5687874750166556,0.0008784773060029283,5,399,11719,0,586937,605903
20,bounded,20,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,72,500,24.0,True,2712.0,20000,20000.0,14,3303,0.5501332445036642,0.004238570996064184,80,382,15283,0,690082,707089
21,bounded,21,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,49,500,24.0,True,3312.0,20000,20000.0,55,3235,0.5388074616922052,0.017001545595054096,129,414,10462,0,612705,623828
