run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
4,none,4,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3354,0.5586275816122585,0.0002981514609421586,2,457,112,2439,456007,453469
0,none,0,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3353,0.5584610259826782,0.00029824038174768865,4,460,79,1958,455629,453057
13,none,13,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3327,0.5541305796135909,0.00030057108506161706,2,442,77,1837,455677,453077
2,none,2,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3401,0.5664556962025317,0.00029403116730373417,2,433,79,1834,455308,452784
3,none,3,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3361,0.5597934710193204,0.0002975304968759298,1,455,89,1867,455910,453356
7,none,7,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3400,0.5662891405729513,0.0,0,459,129,2685,457005,454530
1,none,1,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3238,0.539307128580946,0.00030883261272390367,1,442,89,2163,455688,453011
9,none,9,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3231,0.5381412391738841,0.0,0,452,133,3071,456930,454290
5,none,5,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,2,3327,0.5541305796135909,0.0006011421701232341,7,458,110,2163,455984,453417
12,none,12,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,2,3238,0.539307128580946,0.0006176652254478073,4,462,157,3002,457633,455024
11,none,11,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3383,0.5634576948700866,0.0,0,455,80,2040,455682,453141
15,none,15,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,2,3326,0.5539640239840107,0.0006013229104028864,6,474,145,2952,456662,454129
10,none,10,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3395,0.5654563624250499,0.0002945508100147275,5,428,75,1938,456112,453578
8,none,8,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3257,0.5424716855429713,0.0,0,442,104,2156,455552,452909
6,none,6,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3394,0.5652898067954697,0.0002946375957572186,5,448,129,2474,456061,453580
14,none,14,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3333,0.5551299133910726,0.0,0,448,73,2001,456287,453689
23,none,23,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3342,0.5566289140572951,0.0,0,447,82,2089,456003,453423
17,none,17,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3324,0.5536309127248501,0.0,0,452,159,2941,457044,454523
19,none,19,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,1,3275,0.5454696868754164,0.0003053435114503817,3,459,100,2516,456167,453538
28,none,28,6.0,15.0,1.08,0.85,0.001,0.33,0.3,,,,0,500,24.0,False,,20000,20000.0,0,3247,0.5408061292471685,0.0,0,462,119,2632,456640,454002
