run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
6,bounded,6,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,1,3257,0.5424716855429713,0.00030703101013202335,2,439,254,2842,422190,462133
4,bounded,4,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,0,3330,0.5546302465023317,0.0,0,485,494,5373,424979,464641
9,bounded,9,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,12,200,1584,500,24.0,True,,20000,20000.0,2,3117,0.5191538974017322,0.0006416426050689766,17,490,428,6026,409075,466412
3,bounded,3,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,0,3180,0.5296469020652899,0.0,0,450,754,8192,428280,468526
12,bounded,12,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,6,3211,0.5348101265822784,0.0018685767673621925,17,461,380,4130,423499,463345
7,bounded,7,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,48,200,396,500,24.0,True,,20000,20000.0,1,3248,0.5409726848767489,0.0003078817733990148,2,480,206,2838,435606,461292
15,bounded,15,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,48,200,396,500,24.0,True,,20000,20000.0,1,3167,0.5274816788807462,0.00031575623618566466,5,443,477,5965,438821,464734
1,bounded,1,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,48,200,396,500,24.0,True,,20000,20000.0,0,3341,0.5564623584277149,0.0,0,445,203,2825,435381,461062
10,bounded,10,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,0,3268,0.5443037974683544,0.0,0,472,288,3538,423226,462946
0,bounded,0,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,4,3077,0.512491672218521,0.0012999675008124798,28,474,439,5349,425173,464777
14,bounded,14,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,48,200,396,500,24.0,True,,20000,20000.0,1,3309,0.5511325782811459,0.0003022061045633122,8,432,343,4238,436056,461673
13,bounded,13,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,1,3128,0.5209860093271153,0.00031969309462915604,1,460,475,5464,425201,465262
8,bounded,8,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,24,200,792,500,24.0,True,,20000,20000.0,3,3201,0.5331445702864757,0.0009372071227741331,22,453,272,3101,422894,462643
11,bounded,11,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,12,200,1173,500,24.0,True,15072.0,20000,20000.0,0,3249,0.5411392405063291,0.0,0,396,3319,93107,530632,577979
5,bounded,5,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,12,200,1584,500,24.0,True,,20000,20000.0,78,3078,0.5126582278481012,0.025341130604288498,195,463,2105,37216,445500,506865
2,bounded,2,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,12,200,537,500,24.0,True,7440.0,20000,20000.0,3,3330,0.5546302465023317,0.0009009009009009009,21,429,2680,63997,514589,536699
18,bounded,18,6.0,15.0,1.08,0.85,0.001,0.33,0.35,1000,48,200,396,500,24.0,True,,20000,20000.0,3,3236,0.5389740173217855,0.000927070457354759,4,461,325,4132,436417,461997
